order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
222,17,prior,10,1,15,5
223,17,train,11,0,13,0
224,18,prior,1,4,11,
225,18,prior,2,2,15,4
226,18,prior,3,4,12,18
227,18,prior,4,2,17,6
228,18,prior,5,6,10,2
229,18,train,6,6,10,14
230,19,prior,1,2,11,
231,19,prior,2,4,18,3
232,19,prior,3,6,12,6
233,19,prior,4,2,9,18
234,19,prior,5,3,12,2
235,19,prior,6,0,10,19
236,19,prior,7,5,12,21
237,19,prior,8,5,7,4
238,19,prior,9,1,8,20
239,19,prior,10,5,14,15
240,19,prior,11,1,14,16
241,19,prior,12,5,14,3
242,19,train,13,2,10,6
243,20,prior,1,3,14,
244,20,prior,2,3,15,2
245,20,prior,3,3,13,8
246,20,prior,4,5,18,7
247,20,prior,5,5,16,3
248,20,prior,6,4,7,12
249,20,prior,7,6,12,6
250,20,prior,8,6,8,5
251,20,prior,9,3,9,11
252,20,prior,10,6,14,9
253,20,prior,11,2,15,9
254,20,prior,12,1,14,10
255,20,prior,13,2,12,10
256,20,train,14,6,21,17
257,21,prior,1,4,21,
258,21,prior,2,0,7,8
259,21,prior,3,3,13,8
260,21,prior,4,0,21,18
261,21,prior,5,2,13,2
262,21,prior,6,5,4,4
263,21,prior,7,5,12,6
264,21,prior,8,1,16,25
265,21,prior,9,0,13,12
266,21,prior,10,6,13,22
267,21,prior,11,0,18,8
268,21,prior,12,2,17,6
269,21,prior,13,0,10,21
270,21,train,14,5,18,5
271,22,prior,1,2,7,
272,22,prior,2,0,11,1
273,22,prior,3,5,17,11
274,22,prior,4,2,6,9
275,22,prior,5,4,8,22
276,22,prior,6,0,7,5
277,22,prior,7,3,15,19
278,22,prior,8,1,16,10
279,22,prior,9,2,17,23
280,22,train,10,1,14,7
281,23,prior,1,0,6,
282,23,prior,2,0,10,11
283,23,prior,3,4,15,19
284,23,prior,4,4,10,15
285,23,prior,5,0,10,5
286,23,prior,6,5,9,9
287,23,prior,7,2,5,4
288,23,prior,8,5,9,5
289,23,prior,9,0,12,3
290,23,prior,10,1,13,7
291,23,prior,11,2,17,8
292,23,prior,12,1,13,14
293,23,train,13,6,15,3
294,24,prior,1,6,12,
295,24,prior,2,3,10,13
296,24,prior,3,0,13,7
297,24,prior,4,0,8,11
298,24,prior,5,5,12,6
299,24,prior,6,6,6,16
300,24,prior,7,5,15,2
301,24,prior,8,0,12,2
302,24,prior,9,6,9,3
303,24,prior,10,5,12,2
304,24,prior,11,6,12,9
305,24,prior,12,5,17,3
306,24,prior,13,4,10,6
307,24,prior,14,6,14,4
308,24,prior,15,3,12,19
309,24,prior,16,4,11,16
310,24,prior,17,4,10,11
311,24,prior,18,0,19,19
312,24,prior,19,0,19,9
313,24,prior,20,5,10,5
314,24,train,21,5,11,19
315,25,prior,1,5,10,
316,25,prior,2,6,18,4
317,25,prior,3,6,20,17
318,25,prior,4,4,9,25
319,25,prior,5,3,11,12
320,25,prior,6,4,14,14
321,25,prior,7,2,10,1
322,25,prior,8,5,9,8
323,25,prior,9,2,8,8
324,25,prior,10,3,14,2
325,25,prior,11,1,13,12
326,25,prior,12,0,14,3
327,25,prior,13,5,11,11
328,25,prior,14,1,12,17
329,25,prior,15,0,15,6
330,25,train,16,3,16,15
331,26,prior,1,2,17,
332,26,prior,2,5,9,8
333,26,prior,3,5,9,11
334,26,prior,4,2,20,9
335,26,prior,5,2,13,5
336,26,prior,6,0,13,2
337,26,prior,7,0,8,7
338,26,train,8,5,12,30
339,27,prior,1,6,12,
340,27,prior,2,4,12,2
341,27,prior,3,4,7,1
342,27,prior,4,1,12,2
343,27,prior,5,2,15,5
344,27,prior,6,4,18,11
345,27,prior,7,4,11,17
346,27,prior,8,2,13,5
347,27,prior,9,1,3,7
348,27,prior,10,3,16,2
349,27,prior,11,4,13,14
350,27,prior,12,1,3,26
351,27,prior,13,0,15,18
352,27,train,14,4,10,17
353,28,prior,1,5,8,
354,28,prior,2,3,10,11
355,28,prior,3,6,19,0
356,28,prior,4,6,17,13
357,28,prior,5,6,10,16
358,28,prior,6,3,12,9
359,28,prior,7,6,14,7
360,28,prior,8,1,7,23
361,28,prior,9,2,14,4
362,28,prior,10,4,15,10
363,28,prior,11,5,10,5
364,28,prior,12,6,12,16
365,28,prior,13,2,14,3
366,28,train,14,4,9,9
367,29,prior,1,3,17,
368,29,prior,2,0,11,2
369,29,prior,3,4,17,5
370,29,prior,4,6,14,9
371,29,prior,5,1,15,0
372,29,prior,6,1,11,7
373,29,prior,7,3,17,8
374,29,prior,8,5,7,8
375,29,prior,9,5,14,2
376,29,prior,10,5,19,23
377,29,prior,11,0,12,7
378,29,train,12,4,10,10
379,30,prior,1,0,23,
380,30,prior,2,0,12,30
381,30,prior,3,4,14,21
382,30,prior,4,6,20,22
383,30,prior,5,2,11,4
384,30,prior,6,1,11,7
385,30,prior,7,5,11,30
386,30,prior,8,5,16,1
387,30,prior,9,4,14,0
388,30,train,10,0,11,8
389,31,prior,1,6,15,
390,31,prior,2,5,14,9
391,31,prior,3,4,16,4
392,31,prior,4,3,12,4
393,31,prior,5,4,5,2
394,31,prior,6,0,9,8
395,31,prior,7,1,8,0
396,31,prior,8,1,17,4
397,31,prior,9,6,9,2
398,31,prior,10,4,17,8
399,31,prior,11,3,10,30
400,31,prior,12,0,17,8
401,31,train,13,1,15,15
402,32,prior,1,0,9,
403,32,prior,2,3,15,4
404,32,prior,3,6,13,9
405,32,prior,4,2,6,4
406,32,prior,5,5,10,3
407,32,prior,6,5,6,8
408,32,prior,7,6,20,4
409,32,prior,8,3,13,6
410,32,prior,9,0,20,12
411,32,prior,10,1,8,13
412,32,prior,11,3,10,3
413,32,prior,12,4,19,14
414,32,prior,13,5,10,2
415,32,train,14,4,11,10
416,33,prior,1,4,15,
417,33,prior,2,0,10,18
418,33,prior,3,2,19,6
419,33,prior,4,1,21,6
420,33,prior,5,4,9,8
421,33,prior,6,5,16,9
422,33,prior,7,4,13,4
423,33,prior,8,5,9,7
424,33,prior,9,1,8,14
425,33,prior,10,6,14,7
426,33,train,11,4,13,8
427,34,prior,1,3,11,
428,34,prior,2,3,15,6
429,34,prior,3,1,8,11
430,34,prior,4,0,16,2
431,34,prior,5,5,18,6
432,34,prior,6,4,11,22
433,34,prior,7,6,9,1
434,34,prior,8,3,9,5
435,34,prior,9,1,9,6
436,34,train,10,6,12,3
437,35,prior,1,4,11,
438,35,prior,2,6,16,2
439,35,prior,3,2,13,11
440,35,prior,4,2,9,15
441,35,prior,5,2,5,3
442,35,prior,6,2,18,8
443,35,prior,7,0,10,9
444,35,prior,8,2,9,6
445,35,prior,9,4,16,10
446,35,prior,10,3,7,6
447,35,prior,11,3,12,10
448,35,prior,12,2,19,6
449,35,train,13,1,12,9
450,36,prior,1,3,10,
451,36,prior,2,5,16,6
452,36,prior,3,3,13,6
453,36,prior,4,4,9,30
454,36,prior,5,0,15,3
455,36,prior,6,5,11,5
456,36,prior,7,2,9,8
457,36,prior,8,5,17,16
458,36,prior,9,4,10,6
459,36,prior,10,2,10,21
460,36,prior,11,1,21,10
461,36,prior,12,3,12,11
462,36,prior,13,5,14,11
463,36,prior,14,4,8,11
464,36,train,15,1,6,28
465,37,prior,1,6,20,
466,37,prior,2,5,11,7
467,37,prior,3,1,3,1
468,37,prior,4,1,12,7
469,37,prior,5,1,17,7
470,37,prior,6,4,11,22
471,37,prior,7,1,15,3
472,37,prior,8,6,11,2
473,37,train,9,4,12,10
474,38,prior,1,0,9,
475,38,prior,2,1,10,8
476,38,prior,3,2,2,6
477,38,prior,4,3,14,2
478,38,prior,5,4,19,4
479,38,prior,6,3,9,28
480,38,prior,7,3,17,8
481,38,prior,8,2,13,23
482,38,prior,9,0,15,12
483,38,prior,10,0,8,4
484,38,prior,11,5,10,2
485,38,prior,12,6,5,15
486,38,prior,13,3,20,9
487,38,prior,14,0,10,5
488,38,train,15,5,16,8
489,39,prior,1,3,19,
490,39,prior,2,5,14,6
491,39,prior,3,0,13,18
492,39,prior,4,1,14,19
493,39,prior,5,0,17,10
494,39,prior,6,0,7,0
495,39,prior,7,2,17,14
496,39,prior,8,1,21,15
497,39,prior,9,6,9,12
498,39,train,10,3,20,6
499,40,prior,1,2,9,
500,40,prior,2,5,5,23
501,40,prior,3,0,12,10
502,40,prior,4,2,13,9
503,40,prior,5,2,11,11
504,40,prior,6,0,20,10
505,40,prior,7,5,12,13
506,40,prior,8,4,9,7
507,40,train,9,6,8,11
508,41,prior,1,6,15,
509,41,prior,2,4,15,16
510,41,prior,3,6,16,13
511,41,prior,4,6,12,18
512,41,prior,5,4,5,10
513,41,prior,6,5,8,11
514,41,prior,7,5,13,3
515,41,prior,8,2,10,5
516,41,prior,9,5,15,8
517,41,prior,10,0,11,1
518,41,prior,11,5,11,18
519,41,prior,12,6,6,21
520,41,prior,13,0,15,12
521,41,prior,14,6,0,3
522,41,prior,15,6,10,23
523,41,prior,16,4,12,7
524,41,prior,17,2,9,6
525,41,prior,18,2,7,2
526,41,prior,19,2,14,18
527,41,train,20,4,12,23
528,42,prior,1,2,10,
529,42,prior,2,0,9,11
530,42,prior,3,2,13,3
531,42,prior,4,5,17,9
532,42,prior,5,3,12,21
533,42,prior,6,5,12,26
534,42,prior,7,5,15,21
535,42,prior,8,2,4,23
536,42,prior,9,4,17,14
537,42,prior,10,2,15,15
538,42,train,11,5,13,28
539,43,prior,1,1,14,
540,43,prior,2,1,17,10
541,43,prior,3,0,12,14
542,43,prior,4,5,14,10
543,43,prior,5,2,13,12
544,43,prior,6,4,13,5
545,43,prior,7,3,15,16
546,43,prior,8,3,6,20
547,43,prior,9,2,14,11
548,43,prior,10,6,13,4
549,43,prior,11,5,16,5
550,43,prior,12,2,16,16
551,43,prior,13,2,14,6
552,43,prior,14,6,18,18
553,43,train,15,0,12,30
554,44,prior,1,6,21,
555,44,prior,2,1,13,5
556,44,prior,3,0,8,17
557,44,prior,4,0,17,28
558,44,prior,5,2,9,3
559,44,prior,6,2,12,17
560,44,prior,7,0,7,5
561,44,prior,8,0,12,12
562,44,prior,9,0,7,4
563,44,train,10,1,10,3
564,45,prior,1,5,17,
565,45,prior,2,3,9,8
566,45,prior,3,4,17,0
567,45,prior,4,1,17,17
568,45,prior,5,3,15,12
569,45,prior,6,1,6,3
570,45,prior,7,5,13,23
571,45,prior,8,4,13,7
572,45,prior,9,4,12,2
573,45,prior,10,3,19,8
574,45,train,11,2,13,9
575,46,prior,1,4,11,
576,46,prior,2,0,13,7
577,46,prior,3,0,8,8
578,46,prior,4,1,11,5
579,46,prior,5,0,15,7
580,46,prior,6,3,15,16
581,46,prior,7,5,7,13
582,46,prior,8,4,14,5
583,46,prior,9,3,12,1
584,46,prior,10,0,8,4
585,46,prior,11,6,15,9
586,46,prior,12,2,12,3
587,46,train,13,3,18,9
588,47,prior,1,1,7,
589,47,prior,2,6,11,5
590,47,prior,3,4,8,7
591,47,prior,4,0,18,3
592,47,prior,5,3,15,3
593,47,prior,6,6,19,27
594,47,prior,7,5,12,15
595,47,prior,8,0,10,28
596,47,prior,9,1,10,13
597,47,prior,10,3,11,5
598,47,prior,11,2,15,12
599,47,prior,12,0,15,3
600,47,prior,13,6,15,16
601,47,train,14,1,19,3
602,48,prior,1,4,14,
603,48,prior,2,5,12,9
604,48,prior,3,2,13,2
605,48,prior,4,4,20,3
606,48,prior,5,1,18,7
607,48,prior,6,2,12,0
608,48,prior,7,1,14,12
609,48,prior,8,2,14,6
610,48,train,9,0,11,7
611,49,prior,1,2,8,
612,49,prior,2,5,13,12
613,49,prior,3,2,11,13
614,49,prior,4,4,12,30
615,49,prior,5,1,3,5
616,49,prior,6,3,16,6
617,49,prior,7,4,12,2
618,49,prior,8,0,5,6
619,49,prior,9,4,11,2
620,49,prior,10,0,17,9
621,49,prior,11,3,11,29
622,49,prior,12,5,11,0
623,49,prior,13,3,17,5
624,49,train,14,4,17,8
625,50,prior,1,6,15,
626,50,prior,2,3,17,4
627,50,prior,3,6,15,5
628,50,prior,4,0,21,7
629,50,prior,5,0,12,1
630,50,prior,6,4,12,3
631,50,prior,7,4,13,3
632,50,prior,8,6,17,9
633,50,prior,9,0,18,13
634,50,prior,10,5,9,3
635,50,prior,11,6,14,6
636,50,train,12,1,19,4
637,51,prior,1,5,14,
638,51,prior,2,6,12,6
639,51,prior,3,5,15,11
640,51,prior,4,0,19,9
641,51,prior,5,3,14,13
642,51,prior,6,6,0,11
643,51,prior,7,4,12,11
644,51,prior,8,5,15,1
645,51,prior,9,0,7,10
646,51,prior,10,2,15,3
647,51,prior,11,0,13,1
648,51,train,12,0,18,9
649,52,prior,1,4,10,
650,52,prior,2,0,18,1
651,52,prior,3,1,19,11
652,52,prior,4,1,7,17
653,52,prior,5,4,9,29
654,52,prior,6,3,13,10
655,52,prior,7,1,3,19
656,52,train,8,0,20,2
657,53,prior,1,2,16,
658,53,prior,2,1,7,15
659,53,prior,3,4,13,5
660,53,prior,4,1,12,4
661,53,prior,5,4,11,8
662,53,prior,6,3,10,18
663,53,prior,7,5,15,6
664,53,prior,8,0,9,6
665,53,prior,9,0,11,5
666,53,prior,10,3,13,18
667,53,prior,11,3,13,6
668,53,train,12,4,12,18
669,54,prior,1,0,11,
670,54,prior,2,4,14,10
671,54,prior,3,2,11,13
672,54,prior,4,6,12,5
673,54,prior,5,6,16,6
674,54,prior,6,2,3,3
675,54,prior,7,3,15,17
676,54,prior,8,0,16,7
677,54,prior,9,3,10,8
678,54,train,10,3,14,7
679,55,prior,1,2,15,
680,55,prior,2,5,10,12
681,55,prior,3,1,16,6
682,55,prior,4,2,12,15
683,55,prior,5,6,7,6
684,55,prior,6,2,14,2
685,55,prior,7,4,18,20
686,55,prior,8,0,12,9
687,55,prior,9,1,10,4
688,55,prior,10,4,10,9
689,55,prior,11,3,19,13
690,55,prior,12,6,12,3
691,55,prior,13,4,13,12
692,55,prior,14,4,14,0
693,55,prior,15,6,10,4
694,55,prior,16,3,9,17
695,55,prior,17,3,6,4
696,55,prior,18,0,18,8
697,55,prior,19,4,18,6
698,55,prior,20,2,18,2
699,55,prior,21,3,12,24
700,55,train,22,4,14,11
701,56,prior,1,0,20,
702,56,prior,2,5,14,4
703,56,prior,3,1,14,9
704,56,prior,4,3,15,3
705,56,prior,5,1,5,1
706,56,prior,6,0,15,5
707,56,prior,7,5,19,7
708,56,prior,8,5,13,4
709,56,prior,9,2,12,6
710,56,prior,10,3,7,4
711,56,prior,11,4,15,4
712,56,prior,12,1,14,15
713,56,prior,13,4,6,3
714,56,prior,14,2,15,10
715,56,train,15,2,10,26
716,57,prior,1,2,11,
717,57,prior,2,2,12,18
718,57,prior,3,5,15,20
719,57,prior,4,3,14,17
720,57,prior,5,4,8,6
721,57,prior,6,5,16,30
722,57,prior,7,0,8,4
723,57,prior,8,2,12,6
724,57,prior,9,0,12,1
725,57,prior,10,1,9,19
726,57,train,11,4,13,7
727,58,prior,1,1,11,
728,58,prior,2,6,10,11
729,58,prior,3,5,13,5
730,58,prior,4,5,14,18
731,58,prior,5,2,13,20
732,58,prior,6,4,10,3
733,58,prior,7,4,9,11
734,58,prior,8,6,8,14
735,58,prior,9,4,14,3
736,58,prior,10,5,11,14
737,58,prior,11,5,10,7
738,58,prior,12,1,21,30
739,58,prior,13,5,7,24
740,58,prior,14,6,12,3
741,58,train,15,4,13,4
742,59,prior,1,3,10,
743,59,prior,2,3,8,3
744,59,prior,3,4,12,4
745,59,prior,4,5,23,16
746,59,prior,5,2,16,11
747,59,prior,6,4,10,1
748,59,prior,7,1,10,9
749,59,prior,8,6,14,4
750,59,prior,9,5,19,6
751,59,prior,10,1,16,3
752,59,prior,11,5,9,6
753,59,train,12,6,10,7
754,60,prior,1,2,14,
755,60,prior,2,2,13,7
756,60,prior,3,4,8,7
757,60,prior,4,4,18,18
758,60,prior,5,5,18,8
759,60,prior,6,5,13,17
760,60,prior,7,3,20,11
761,60,prior,8,1,12,3
762,60,prior,9,6,21,10
763,60,prior,10,3,10,4
764,60,train,11,0,8,17
765,61,prior,1,2,9,
766,61,prior,2,4,18,20
767,61,prior,3,5,11,10
768,61,prior,4,3,5,12
769,61,prior,5,6,9,25
770,61,prior,6,4,19,2
771,61,prior,7,2,9,17
772,61,train,8,1,12,11
773,62,prior,1,4,20,
774,62,prior,2,3,13,0
775,62,prior,3,0,11,4
776,62,prior,4,3,9,10
777,62,prior,5,1,15,14
778,62,prior,6,0,16,14
779,62,prior,7,2,14,19
780,62,prior,8,5,8,18
781,62,prior,9,3,17,0
782,62,prior,10,1,11,10
783,62,prior,11,3,9,14
784,62,train,12,6,11,24
785,63,prior,1,3,13,
786,63,prior,2,4,13,18
787,63,prior,3,3,2,28
788,63,prior,4,5,12,28
789,63,prior,5,6,12,28
790,63,prior,6,5,14,6
791,63,prior,7,0,10,17
792,63,train,8,1,20,3
793,64,prior,1,6,10,
794,64,prior,2,4,9,3
795,64,prior,3,6,16,22
796,64,prior,4,3,11,18
797,64,prior,5,2,12,19
798,64,prior,6,0,11,3
799,64,prior,7,5,8,9
800,64,prior,8,5,17,6
801,64,prior,9,5,9,30
802,64,prior,10,1,15,7
803,64,prior,11,0,15,4
804,64,prior,12,2,9,7
805,64,prior,13,2,12,22
806,64,prior,14,5,12,15
807,64,prior,15,1,9,9
808,64,prior,16,1,16,12
809,64,train,17,0,20,13
810,65,prior,1,0,17,
811,65,prior,2,4,5,5
812,65,prior,3,0,8,2
813,65,prior,4,1,18,15
814,65,prior,5,1,8,1
815,65,prior,6,3,12,17
816,65,prior,7,2,17,2
817,65,prior,8,0,17,2
818,65,prior,9,3,14,24
819,65,prior,10,6,10,20
820,65,prior,11,2,11,10
821,65,prior,12,3,8,6
822,65,prior,13,0,10,3
823,65,prior,14,1,17,2
824,65,train,15,1,16,1
825,66,prior,1,3,15,
826,66,prior,2,1,11,3
827,66,prior,3,5,6,9
828,66,prior,4,4,16,7
829,66,prior,5,0,17,2
830,66,prior,6,1,12,2
831,66,prior,7,1,11,4
832,66,prior,8,0,15,7
833,66,prior,9,4,11,3
834,66,prior,10,5,10,12
835,66,prior,11,3,16,8
836,66,prior,12,5,3,3
837,66,prior,13,1,16,17
838,66,prior,14,2,13,5
839,66,train,15,2,5,4
840,67,prior,1,3,17,
841,67,prior,2,3,6,30
842,67,prior,3,0,10,22
843,67,prior,4,3,15,25
844,67,prior,5,6,12,2
845,67,train,6,0,6,13
846,68,prior,1,5,14,
847,68,prior,2,0,14,20
848,68,prior,3,1,11,3
849,68,prior,4,4,12,21
850,68,prior,5,2,12,11
851,68,prior,6,2,11,15
852,68,prior,7,3,9,4
853,68,prior,8,5,16,7
854,68,prior,9,1,19,14
855,68,prior,10,6,3,11
856,68,prior,11,2,11,8
857,68,prior,12,1,13,7
858,68,prior,13,0,12,15
859,68,prior,14,3,17,4
860,68,prior,15,5,23,6
861,68,prior,16,5,5,16
862,68,train,17,0,15,4
863,69,prior,1,3,10,
864,69,prior,2,2,10,21
865,69,prior,3,5,18,2
866,69,prior,4,0,3,14
867,69,prior,5,3,15,3
868,69,prior,6,0,10,8
869,69,prior,7,2,15,4
870,69,prior,8,1,6,11
871,69,train,9,2,9,22
872,70,prior,1,2,16,
873,70,prior,2,1,6,2
874,70,prior,3,6,15,13
875,70,prior,4,3,16,8
876,70,prior,5,6,10,11
877,70,prior,6,4,11,3
878,70,prior,7,5,9,10
879,70,prior,8,4,14,7
880,70,prior,9,6,7,7
881,70,prior,10,2,12,17
882,70,prior,11,3,16,3
883,70,prior,12,3,18,13
884,70,prior,13,0,12,13
885,70,train,14,4,16,1
886,71,prior,1,1,5,
887,71,prior,2,3,11,2
888,71,prior,3,3,13,25
889,71,prior,4,4,13,6
890,71,prior,5,0,10,7
891,71,prior,6,0,16,8
892,71,prior,7,1,8,18
893,71,train,8,3,15,11
894,72,prior,1,2,11,
895,72,prior,2,3,21,9
896,72,prior,3,1,5,1
897,72,prior,4,3,10,9
898,72,prior,5,5,4,10
899,72,prior,6,4,10,8
900,72,prior,7,0,16,6
901,72,prior,8,5,14,2
902,72,prior,9,4,15,13
903,72,prior,10,5,20,9
904,72,prior,11,5,13,8
905,72,prior,12,3,18,11
906,72,prior,13,4,10,14
907,72,prior,14,3,11,26
908,72,train,15,3,15,7
909,73,prior,1,6,15,
910,73,prior,2,0,14,6
911,73,prior,3,4,9,17
912,73,prior,4,1,15,8
913,73,prior,5,3,13,11
914,73,prior,6,6,13,11
915,73,prior,7,6,13,5
916,73,prior,8,1,12,3
917,73,prior,9,2,13,26
918,73,prior,10,5,10,30
919,73,prior,11,0,15,1
920,73,train,12,1,12,10
921,74,prior,1,3,16,
922,74,prior,2,2,10,8
923,74,prior,3,4,17,0
924,74,prior,4,0,13,15
925,74,prior,5,3,12,1
926,74,prior,6,2,7,12
927,74,prior,7,0,9,20
928,74,prior,8,3,14,4
929,74,prior,9,2,10,9
930,74,prior,10,3,11,2
931,74,prior,11,6,5,20
932,74,prior,12,4,9,8
933,74,prior,13,3,11,2
934,74,prior,14,5,12,13
935,74,train,15,6,16,15
936,75,prior,1,3,12,
937,75,prior,2,0,13,10
