user_id,frequency,monetary,avg_order_value,total_items,recency,R,F,M,rfm_cell,rfm_score,segment,action
2990,8,692.29,86.54,71,10.0,3,1,3,31,7,About to Sleep,Reactivate with relevant recommendations.
815,15,923.94,61.6,106,5.0,4,4,4,44,12,Loyal Customers,Upsell higher-value items; ask for reviews.
1422,21,1501.23,71.49,177,0.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
3150,10,803.16,80.32,84,9.0,3,2,4,32,9,About to Sleep,Reactivate with relevant recommendations.
2054,12,596.21,49.68,79,4.0,5,3,2,53,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1004,17,993.6,58.45,140,0.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
2702,6,285.57,47.6,43,24.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
3837,12,667.04,55.59,96,9.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
3071,11,866.14,78.74,86,30.0,1,2,4,12,7,Hibernating,Low-cost reactivation; otherwise let lapse.
2404,10,587.14,58.71,86,3.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
57,11,733.19,66.65,81,7.0,3,2,3,32,8,About to Sleep,Reactivate with relevant recommendations.
1313,9,494.19,54.91,81,6.0,4,1,1,41,6,Promising,Targeted offers and brand awareness.
19,13,788.01,60.62,99,6.0,4,3,4,43,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4452,13,584.93,44.99,107,29.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
2721,9,526.33,58.48,67,13.0,2,1,2,21,5,Hibernating,Low-cost reactivation; otherwise let lapse.
3834,13,676.04,52.0,96,5.0,4,3,3,43,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
824,12,782.09,65.17,91,2.0,5,3,4,53,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3460,11,709.2,64.47,80,21.0,1,2,3,12,6,Hibernating,Low-cost reactivation; otherwise let lapse.
1262,12,761.13,63.43,87,7.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
357,13,720.0,55.38,100,3.0,5,3,3,53,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2366,11,559.07,50.82,93,13.0,2,2,2,22,6,Hibernating,Low-cost reactivation; otherwise let lapse.
4634,15,762.9,50.86,110,12.0,2,4,3,24,9,At Risk,Win-back campaign; personalised reorders.
769,10,495.27,49.53,73,6.0,4,2,1,42,7,Potential Loyalists,Membership/loyalty offers to deepen the habit.
266,12,953.96,79.5,104,8.0,3,3,5,33,11,Need Attention,Limited-time offers on past favourites.
2543,17,1096.68,64.51,132,5.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
4669,11,654.19,59.47,81,4.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1550,10,687.23,68.72,77,2.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1287,10,681.09,68.11,91,6.0,4,2,3,42,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3855,16,1440.68,90.04,132,6.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
3840,19,881.45,46.39,155,9.0,3,5,4,35,12,Loyal Customers,Upsell higher-value items; ask for reviews.
366,9,432.24,48.03,76,3.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
307,18,1023.62,56.87,138,8.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
3199,17,903.71,53.16,129,4.0,5,5,4,55,14,Champions,"Reward; early access, referrals, VIP perks."
4078,9,430.3,47.81,70,2.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
91,9,734.21,81.58,79,5.0,4,1,3,41,8,Promising,Targeted offers and brand awareness.
305,11,506.28,46.03,72,8.0,3,2,1,32,6,About to Sleep,Reactivate with relevant recommendations.
743,11,536.15,48.74,85,1.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1484,15,902.71,60.18,129,8.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
3986,12,669.11,55.76,89,30.0,1,3,3,13,7,At Risk,Win-back campaign; personalised reorders.
10,13,942.97,72.54,103,11.0,2,3,5,23,10,At Risk,Win-back campaign; personalised reorders.
1940,10,686.2,68.62,80,9.0,3,2,3,32,8,About to Sleep,Reactivate with relevant recommendations.
4643,14,1008.7,72.05,130,3.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
3068,10,496.29,49.63,71,7.0,3,2,1,32,6,About to Sleep,Reactivate with relevant recommendations.
3582,10,663.31,66.33,69,20.0,1,2,3,12,6,Hibernating,Low-cost reactivation; otherwise let lapse.
2636,14,867.06,61.93,94,8.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
1602,16,1118.72,69.92,128,29.0,1,5,5,15,11,Can't Lose Them,Aggressive win-back; they were valuable.
2773,10,993.05,99.31,95,4.0,5,2,5,52,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2544,6,348.53,58.09,47,7.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
823,5,268.61,53.72,39,5.0,4,1,1,41,6,Promising,Targeted offers and brand awareness.
3494,15,885.73,59.05,127,8.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
4356,13,868.95,66.84,105,12.0,2,3,4,23,9,At Risk,Win-back campaign; personalised reorders.
4314,15,1034.62,68.97,138,9.0,3,4,5,34,12,Loyal Customers,Upsell higher-value items; ask for reviews.
50,12,635.17,52.93,83,4.0,5,3,2,53,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4754,11,611.12,55.56,88,10.0,3,2,2,32,7,About to Sleep,Reactivate with relevant recommendations.
13,15,724.93,48.33,107,21.0,1,4,3,14,8,At Risk,Win-back campaign; personalised reorders.
4689,10,432.35,43.24,65,7.0,3,2,1,32,6,About to Sleep,Reactivate with relevant recommendations.
1319,12,743.09,61.92,91,10.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
4197,20,1309.58,65.48,142,1.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
4579,14,938.07,67.01,93,2.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
2,15,1068.77,71.25,123,22.0,1,4,5,14,10,At Risk,Win-back campaign; personalised reorders.
2770,13,905.87,69.68,113,14.0,2,3,4,23,9,At Risk,Win-back campaign; personalised reorders.
1603,13,543.99,41.85,101,19.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
246,15,1037.68,69.18,132,11.0,2,4,5,24,11,At Risk,Win-back campaign; personalised reorders.
3735,11,637.16,57.92,84,15.0,2,2,2,22,6,Hibernating,Low-cost reactivation; otherwise let lapse.
1942,9,485.29,53.92,71,30.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
4474,11,665.06,60.46,94,13.0,2,2,3,22,7,Hibernating,Low-cost reactivation; otherwise let lapse.
2857,13,734.93,56.53,107,13.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
3497,14,779.95,55.71,105,7.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
2799,16,959.78,59.99,122,4.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
2140,15,981.82,65.45,118,29.0,1,4,5,14,10,At Risk,Win-back campaign; personalised reorders.
1522,12,590.06,49.17,94,29.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
1967,16,897.76,56.11,124,0.0,5,5,4,55,14,Champions,"Reward; early access, referrals, VIP perks."
355,15,859.85,57.32,115,4.0,5,4,4,54,13,Champions,"Reward; early access, referrals, VIP perks."
2575,12,786.04,65.5,96,5.0,4,3,4,43,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3442,18,834.79,46.38,121,9.0,3,5,4,35,12,Loyal Customers,Upsell higher-value items; ask for reviews.
4635,16,1058.89,66.18,111,9.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
2952,12,694.12,57.84,88,12.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
3755,12,756.1,63.01,90,1.0,5,3,3,53,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2742,7,421.45,60.21,55,5.0,4,1,1,41,6,Promising,Targeted offers and brand awareness.
1006,13,690.97,53.15,103,12.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
4773,19,1140.57,60.03,143,6.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
2683,12,743.0,61.92,100,5.0,4,3,3,43,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3046,11,886.17,80.56,83,12.0,2,2,4,22,8,Hibernating,Low-cost reactivation; otherwise let lapse.
453,10,833.12,83.31,88,5.0,4,2,4,42,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2099,11,552.15,50.2,85,6.0,4,2,2,42,8,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3530,11,751.07,68.28,93,12.0,2,2,3,22,7,Hibernating,Low-cost reactivation; otherwise let lapse.
182,4,283.62,70.91,38,13.0,2,1,1,21,4,Hibernating,Low-cost reactivation; otherwise let lapse.
1950,14,816.0,58.29,100,30.0,1,4,4,14,9,At Risk,Win-back campaign; personalised reorders.
528,8,569.4,71.18,60,5.0,4,1,2,41,7,Promising,Targeted offers and brand awareness.
4351,13,704.04,54.16,96,8.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
1549,17,1220.52,71.8,148,13.0,2,5,5,25,12,Can't Lose Them,Aggressive win-back; they were valuable.
3463,9,748.19,83.13,81,20.0,1,1,3,11,5,Hibernating,Low-cost reactivation; otherwise let lapse.
1474,15,1022.87,68.19,113,7.0,3,4,5,34,12,Loyal Customers,Upsell higher-value items; ask for reviews.
1613,10,592.18,59.22,82,11.0,2,2,2,22,6,Hibernating,Low-cost reactivation; otherwise let lapse.
667,17,1048.53,61.68,147,16.0,1,5,5,15,11,Can't Lose Them,Aggressive win-back; they were valuable.
4102,10,779.18,77.92,82,9.0,3,2,4,32,9,About to Sleep,Reactivate with relevant recommendations.
3602,17,1037.66,61.04,134,17.0,1,5,5,15,11,Can't Lose Them,Aggressive win-back; they were valuable.
481,11,477.23,43.38,77,4.0,5,2,1,52,8,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4645,12,558.1,46.51,90,3.0,5,3,2,53,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2675,12,652.05,54.34,95,8.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
1804,10,587.14,58.71,86,15.0,2,2,2,22,6,Hibernating,Low-cost reactivation; otherwise let lapse.
438,11,470.24,42.75,76,15.0,2,2,1,22,5,Hibernating,Low-cost reactivation; otherwise let lapse.
382,7,416.49,59.5,51,16.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
2579,9,603.33,67.04,67,3.0,5,1,2,51,8,New Customers,Onboarding support; build the second-order habit.
2526,8,416.39,52.05,61,10.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
378,11,863.11,78.46,89,3.0,5,2,4,52,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2073,14,564.96,40.35,104,6.0,4,4,2,44,10,Loyal Customers,Upsell higher-value items; ask for reviews.
3717,9,453.42,50.38,58,5.0,4,1,1,41,6,Promising,Targeted offers and brand awareness.
1349,13,485.15,37.32,85,8.0,3,3,1,33,7,Need Attention,Limited-time offers on past favourites.
4199,17,1078.67,63.45,133,5.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
3378,10,554.21,55.42,79,16.0,1,2,2,12,5,Hibernating,Low-cost reactivation; otherwise let lapse.
799,13,760.99,58.54,101,5.0,4,3,3,43,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4808,12,994.98,82.92,102,6.0,4,3,5,43,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4081,20,1106.44,55.32,156,2.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
1044,11,405.23,36.84,77,9.0,3,2,1,32,6,About to Sleep,Reactivate with relevant recommendations.
4893,16,1063.7,66.48,130,12.0,2,5,5,25,12,Can't Lose Them,Aggressive win-back; they were valuable.
4967,9,775.37,86.15,63,5.0,4,1,4,41,9,Promising,Targeted offers and brand awareness.
3786,12,678.03,56.5,97,6.0,4,3,3,43,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4147,9,468.45,52.05,55,11.0,2,1,1,21,4,Hibernating,Low-cost reactivation; otherwise let lapse.
3671,11,723.14,65.74,86,11.0,2,2,3,22,7,Hibernating,Low-cost reactivation; otherwise let lapse.
1848,14,834.92,59.64,108,14.0,2,4,4,24,10,At Risk,Win-back campaign; personalised reorders.
589,15,1054.71,70.31,129,19.0,1,4,5,14,10,At Risk,Win-back campaign; personalised reorders.
2925,15,937.96,62.53,104,4.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
4150,10,750.17,75.02,83,3.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1167,10,656.18,65.62,82,2.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3702,16,1135.73,70.98,127,12.0,2,5,5,25,12,Can't Lose Them,Aggressive win-back; they were valuable.
682,8,479.42,59.93,58,2.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
329,10,559.24,55.92,76,4.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3728,15,915.8,61.05,120,8.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
44,10,477.37,47.74,63,3.0,5,2,1,52,8,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1144,20,1180.45,59.02,155,12.0,2,5,5,25,12,Can't Lose Them,Aggressive win-back; they were valuable.
4719,7,331.55,47.36,45,17.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
3991,14,754.04,53.86,96,7.0,3,4,3,34,10,Loyal Customers,Upsell higher-value items; ask for reviews.
2150,11,826.06,75.1,94,2.0,5,2,4,52,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3523,13,737.89,56.76,111,30.0,1,3,3,13,7,At Risk,Win-back campaign; personalised reorders.
2598,18,1591.5,88.42,150,7.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
1585,11,560.17,50.92,83,3.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2391,7,504.45,72.06,55,3.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
3950,15,981.81,65.45,119,2.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
1987,11,818.24,74.39,76,4.0,5,2,4,52,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1022,10,597.24,59.72,76,4.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2951,13,870.98,67.0,102,3.0,5,3,4,53,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
944,13,753.06,57.93,94,2.0,5,3,3,53,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3035,18,779.65,43.31,135,4.0,5,5,4,55,14,Champions,"Reward; early access, referrals, VIP perks."
2601,12,606.12,50.51,88,17.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
4371,18,1015.66,56.43,134,16.0,1,5,5,15,11,Can't Lose Them,Aggressive win-back; they were valuable.
2760,15,954.86,63.66,114,24.0,1,4,5,14,10,At Risk,Win-back campaign; personalised reorders.
4430,13,818.97,63.0,103,8.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
4921,14,733.89,52.42,111,9.0,3,4,3,34,10,Loyal Customers,Upsell higher-value items; ask for reviews.
551,7,396.52,56.65,48,15.0,2,1,1,21,4,Hibernating,Low-cost reactivation; otherwise let lapse.
4429,15,1151.58,76.77,142,6.0,4,4,5,44,13,Loyal Customers,Upsell higher-value items; ask for reviews.
4028,10,974.03,97.4,97,1.0,5,2,5,52,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
948,18,1207.51,67.08,149,5.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
1540,10,572.24,57.22,76,10.0,3,2,2,32,7,About to Sleep,Reactivate with relevant recommendations.
2540,13,555.15,42.7,85,9.0,3,3,2,33,8,Need Attention,Limited-time offers on past favourites.
3107,16,943.88,58.99,112,9.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
3882,14,745.08,53.22,92,8.0,3,4,3,34,10,Loyal Customers,Upsell higher-value items; ask for reviews.
4533,15,1014.76,67.65,124,2.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
30,10,586.29,58.63,71,8.0,3,2,2,32,7,About to Sleep,Reactivate with relevant recommendations.
2828,13,939.97,72.31,103,6.0,4,3,5,43,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
521,14,901.87,64.42,113,6.0,4,4,4,44,12,Loyal Customers,Upsell higher-value items; ask for reviews.
936,15,890.81,59.39,119,1.0,5,4,4,54,13,Champions,"Reward; early access, referrals, VIP perks."
981,14,719.77,51.41,123,4.0,5,4,3,54,12,Champions,"Reward; early access, referrals, VIP perks."
2149,13,627.05,48.23,95,9.0,3,3,2,33,8,Need Attention,Limited-time offers on past favourites.
1334,8,489.38,61.17,62,1.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
2465,12,648.15,54.01,85,18.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
249,15,821.92,54.79,108,4.0,5,4,4,54,13,Champions,"Reward; early access, referrals, VIP perks."
255,13,638.08,49.08,92,4.0,5,3,2,53,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3308,10,480.17,48.02,83,14.0,2,2,1,22,5,Hibernating,Low-cost reactivation; otherwise let lapse.
1678,11,846.12,76.92,88,28.0,1,2,4,12,7,Hibernating,Low-cost reactivation; otherwise let lapse.
296,10,734.2,73.42,80,19.0,1,2,3,12,6,Hibernating,Low-cost reactivation; otherwise let lapse.
209,10,725.3,72.53,70,4.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2538,13,648.08,49.85,92,7.0,3,3,2,33,8,Need Attention,Limited-time offers on past favourites.
1747,17,1286.79,75.69,121,12.0,2,5,5,25,12,Can't Lose Them,Aggressive win-back; they were valuable.
1748,7,516.36,73.77,64,16.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
947,13,797.98,61.38,102,8.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
3890,11,732.16,66.56,84,8.0,3,2,3,32,8,About to Sleep,Reactivate with relevant recommendations.
972,12,831.09,69.26,91,4.0,5,3,4,53,12,Potential Loyalists,Membership/loyalty offers to deepen the habit.
761,9,561.21,62.36,79,7.0,3,1,2,31,6,About to Sleep,Reactivate with relevant recommendations.
2864,13,955.99,73.54,101,13.0,2,3,5,23,10,At Risk,Win-back campaign; personalised reorders.
1084,7,484.44,69.21,56,8.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
3374,12,776.93,64.74,107,13.0,2,3,4,23,9,At Risk,Win-back campaign; personalised reorders.
90,11,582.07,52.92,93,5.0,4,2,2,42,8,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2130,12,815.01,67.92,99,11.0,2,3,4,23,9,At Risk,Win-back campaign; personalised reorders.
904,15,888.81,59.25,119,7.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
4702,12,881.97,73.5,103,10.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
3682,15,1027.85,68.52,115,3.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
4343,9,775.04,86.12,96,14.0,2,1,4,21,7,Hibernating,Low-cost reactivation; otherwise let lapse.
3032,16,762.83,47.68,117,16.0,1,5,3,15,9,Can't Lose Them,Aggressive win-back; they were valuable.
3133,15,1004.92,66.99,108,10.0,3,4,5,34,12,Loyal Customers,Upsell higher-value items; ask for reviews.
4086,9,423.47,47.05,53,8.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
3957,17,1039.93,61.17,107,6.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
4606,10,546.29,54.63,71,30.0,1,2,2,12,5,Hibernating,Low-cost reactivation; otherwise let lapse.
4391,12,782.98,65.25,102,5.0,4,3,4,43,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
4948,13,825.99,63.54,101,10.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
4157,7,312.43,44.63,57,30.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
4096,17,814.76,47.93,124,3.0,5,5,4,55,14,Champions,"Reward; early access, referrals, VIP perks."
524,8,512.25,64.03,75,7.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
4620,12,773.04,64.42,96,11.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
3311,10,642.24,64.22,76,18.0,1,2,2,12,5,Hibernating,Low-cost reactivation; otherwise let lapse.
312,8,424.46,53.06,54,3.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
3809,13,780.04,60.0,96,18.0,1,3,4,13,8,At Risk,Win-back campaign; personalised reorders.
4959,11,761.27,69.21,73,2.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
862,12,670.11,55.84,89,2.0,5,3,3,53,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1185,10,577.25,57.73,75,4.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
494,12,688.09,57.34,91,7.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
3689,11,685.02,62.27,98,2.0,5,2,3,52,10,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3300,19,1002.35,52.76,165,4.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
